Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","31.2848","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","1.0689","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","1.0689","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","3067687995.0757","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","920306398.5227","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","613537599.0151","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","68.6943","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72340","Estiércol depositado en las pasturas (emisiones directas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","48.2065","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72360","Estiércol depositado en las pasturas (emisiones indirectas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","20.4878","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","10.8465","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","9.6413","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72381","Estiércol aplicado a los suelos (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","136045347.2244","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723812","Estiércol aplicado a los suelos que lixivia (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","40813604.1673","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723811","Estiércol aplicado a los suelos que se volatiliza (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","27209069.4449","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72301","Emisiones (N2O) (Estiércol depositado)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","3.0464","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72341","Estiércol aplicado a los suelos (emisiones directas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","2.1379","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72361","Estiércol aplicado a los suelos (emisiones indirectas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.9086","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723612","Indirect emissions (N2O that leaches) (Manure applied)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.481","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723611","Indirect emissions (N2O that volatilises) (Manure applied)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.4276","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","5111","Existencias","02123","Caprinos","1963","1963","3050","FAO TIER 1","Cabeza","217722084","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","74.2932","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","1120.3402","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","1088.6104","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","140622696.6761","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","31.7298","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","1.1049","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","1.1049","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","3127752444.4075","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","938325733.3223","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","625550488.8815","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","70.0393","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72340","Estiércol depositado en las pasturas (emisiones directas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","49.1504","E","Valor estimado",""
