Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723811","Estiércol aplicado a los suelos que se volatiliza (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72301","Emisiones (N2O) (Estiércol depositado)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72341","Estiércol aplicado a los suelos (emisiones directas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72361","Estiércol aplicado a los suelos (emisiones indirectas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723612","Indirect emissions (N2O that leaches) (Manure applied)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723611","Indirect emissions (N2O that volatilises) (Manure applied)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","5111","Existencias","02123","Caprinos","1964","1964","3050","FAO TIER 1","Cabeza","317664","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.119","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","1.6417","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","1.5883","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.0534","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","5313829.286","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","1594148.7858","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","1062765.8572","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.119","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72340","Estiércol depositado en las pasturas (emisiones directas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.0835","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72360","Estiércol depositado en las pasturas (emisiones indirectas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.0355","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.0188","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.0167","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72381","Estiércol aplicado a los suelos (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723812","Estiércol aplicado a los suelos que lixivia (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723811","Estiércol aplicado a los suelos que se volatiliza (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72301","Emisiones (N2O) (Estiércol depositado)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72341","Estiércol aplicado a los suelos (emisiones directas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72361","Estiércol aplicado a los suelos (emisiones indirectas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723612","Indirect emissions (N2O that leaches) (Manure applied)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723611","Indirect emissions (N2O that volatilises) (Manure applied)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","5111","Existencias","02123","Caprinos","1965","1965","3050","FAO TIER 1","Cabeza","320978","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","0.1201","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","1.6589","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","1.6049","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","0.054","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","5365358.672","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","1609607.6016","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","1073071.7344","E","Valor estimado",""
