Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","2.8302","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.1694","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.1694","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","364063879.3398","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","109219163.8019","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","72812775.868","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","8.1524","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72340","Estiércol depositado en las pasturas (emisiones directas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","5.721","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72360","Estiércol depositado en las pasturas (emisiones indirectas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","2.4314","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","1.2872","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","1.1442","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72381","Estiércol aplicado a los suelos (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","21556092.8746","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723812","Estiércol aplicado a los suelos que lixivia (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","6466827.8624","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723811","Estiércol aplicado a los suelos que se volatiliza (N contenido)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kg","4311218.5749","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72301","Emisiones (N2O) (Estiércol depositado)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.4827","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72341","Estiércol aplicado a los suelos (emisiones directas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.3387","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72361","Estiércol aplicado a los suelos (emisiones indirectas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.144","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723612","Indirect emissions (N2O that leaches) (Manure applied)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.0762","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723611","Indirect emissions (N2O that volatilises) (Manure applied)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.0677","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","5111","Existencias","02123","Caprinos","1963","1963","3050","FAO TIER 1","Cabeza","20281981","A","Cifra oficial",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","8.3303","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","104.0883","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","101.4099","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","20488317.282","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","2.6784","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0.161","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0.161","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","344327731.3612","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","103298319.4083","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","68865546.2722","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","7.7105","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72340","Estiércol depositado en las pasturas (emisiones directas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","5.4109","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72360","Estiércol depositado en las pasturas (emisiones indirectas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","2.2996","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","1.2174","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","1.0822","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72381","Estiércol aplicado a los suelos (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","20488317.282","E","Valor estimado",""
